Un patient de 26 ans, était bien portant mais nulligeste nullipare, célibataire, sans notion d´une vulnérabilité de l´État civil, la notion chez la mère et sœur décédées d´un cancer du sein et chez le père et un frère sans carcinome, a consulté pour un nodule de 6 cm au niveau du quadrant supéro interne du sein droit révélé lors de sa visite dentaire, avec une adénopathie de 1.5 cm au niveau du creux axillaire droit, avec un nodule de 2 cm au niveau du quadrant supéro externe du sein gauche, Le bilan d´extension était normal. Le scanner thoraco-abdominal objectivait un cancer du sein droit BIRADS V. La microbiopsie des deux lésions cliniques des deux seins est revenue en faveur d´un carcinome canalaire infiltrant SBR III, avec des récepteurs hormonaux négatifs et test de l'HER 2 négatif (T3N1M0). Le CA 15-3 à 81 mui/ml. Le patient a eu une chimiothérapie néoadjuvante de 6 cures à base de 3 épisodes de FEC75, soit une chimiothérapie concomitante à base de 3 cures d’Adriamycine 50mg/m² et cyclophosphamide 500mg/m² et deux cures de docétaxel. Une chirurgie radicale type Patey bilatéral a été réalisée suivi d´une chimiothérapie et radiothérapie post opératoires. Le patient a répondu bien au traitement, le contrôle après 4 mois a révélé une régression partielle du nodule du quadrant supéro interne du sein droit et des adénopathies axillaires avec la persistance de celles du quadrant supéro externe du sein gauche et du nodule du quadrant supéro interne du sein gauche avec une récidive de 1cm dans la direction périnodale. Il a reçu 4 cures de docétaxel, la radiothérapie n´a pas été faite pour raisons d´envies. L´évolution est favorable.

Tableau I : Tableau I

Tableau II : Tableau II

Tableau III : Tableau III

Tableau IV : Tableau IV

Tableau V : Tableau V

Figure 1 : Figure 1

Figure 2 : Figure 2

Figure 3 : Figure 3

Figure 4 : Figure 4

Figure 5 : Figure 5

Figure 6 : Figure 6

Figure 7 : Figure 7

Figure 8 : Figure 8

Figure 9 : Figure 9

Figure 10 : Figure 10

Figure 11 : Figure 11

Figure 12 : Figure 12

Figure 13 : Figure 13

Figure 14 : Figure 14

Figure 15 : Figure 15

Figure 16 : Figure 16

Figure 17 : Figure 17

Figure 18 : Figure 18

Figure 19 : Figure 19

Figure 20 : Figure 20

Figure 21 : Figure 21

Figure 22 : Figure 22

Figure 23 : Figure 23

Figure 24 : Figure 24

Figure 25 : Figure 25

Figure 26 : Figure 26

Figure 27 : Figure 27

Figure 28 : Figure 28

Figure 29 : Figure 29

Figure 30 : Figure 30

Figure 31 : Figure 31

Figure 32 : Figure 32

Figure 33 : Figure 33

Figure 34 : Figure 34

Figure 35 : Figure 35

Figure 36 : Figure 36

Figure 37 : Figure 37

Figure 38 : Figure 38

Figure 39 : Figure 39

Figure 40 : Figure 40

Figure 41 : Figure 41

Figure 42 : Figure 42

Figure 43 : Figure 43

Figure 44 : Figure 44

Figure 45 : Figure 45

Figure 46 : Figure 46

Figure 47 : Figure 47

Figure 48 : Figure 48

Figure 49 : Figure 49

Figure 50 : Figure 50

Figure 51 : Figure 51

Figure 52 : Figure 52

Figure 53 : Figure 53

Figure 54 : Figure 54

Figure 55 : Figure 55

Figure 56 : Figure 56

Figure 57 : Figure 57

Figure 58 : Figure 58

Figure 59 : Figure 59

Figure 60 : Figure 60

Figure 6
